SrcIP; DstIP; Type; Query; Ans; Auth; Add; Resp. Types; Response; Response Value
10.0.2.3;10.0.2.15;1;aax-eu.amazon-adsystem.com;1;0;0;1;aax-eu.amazon-adsystem.com;52.94.216.48
10.0.2.3;10.0.2.15;1;aax-eu.amazon-adsystem.com;1;0;0;1;aax-eu.amazon-adsystem.com;52.94.216.48
10.0.2.3;10.0.2.15;1;aax-eu.amazon-adsystem.com;1;0;0;1;aax-eu.amazon-adsystem.com;52.94.216.48
10.0.2.3;10.0.2.15;1;aax-eu.amazon-adsystem.com;1;0;0;1;aax-eu.amazon-adsystem.com;52.94.216.48
10.0.2.3;10.0.2.15;1;accuweather.brightspotcdn.com;6;0;0;5,5,1,1,1,1;accuweather.brightspotcdn.com,cdn.accuweather.psdops.com,d2hv6dpzsryqc1.cloudfront.net,d2hv6dpzsryqc1.cloudfront.net,d2hv6dpzsryqc1.cloudfront.net,d2hv6dpzsryqc1.cloudfront.net;13.32.99.21,13.32.99.246,13.32.99.134,13.32.99.17
10.0.2.3;10.0.2.15;1;ads.yahoo.com;3;0;0;5,1,1;ads.yahoo.com,fo-fd-world-new.yax.gysm.yahoodns.net,fo-fd-world-new.yax.gysm.yahoodns.net;212.82.100.172,212.82.100.180
10.0.2.3;10.0.2.15;1;android.clients.google.com;5;0;0;5,1,1,1,1;android.clients.google.com,android.l.google.com,android.l.google.com,android.l.google.com,android.l.google.com;172.217.23.206,216.58.201.110,216.58.201.78,172.217.23.238
10.0.2.3;10.0.2.15;1;android.googleapis.com;1;0;0;1;android.googleapis.com;216.58.201.74
10.0.2.3;10.0.2.15;1;android.googleapis.com;1;0;0;1;android.googleapis.com;216.58.201.74
10.0.2.3;10.0.2.15;1;api.accuweather.com;3;0;0;5,5,1;api.accuweather.com,api.accuweather.com.edgekey.net,e10414.g.akamaiedge.net;184.51.9.204
10.0.2.3;10.0.2.15;1;api.accuweather.com;3;0;0;5,5,1;api.accuweather.com,api.accuweather.com.edgekey.net,e10414.g.akamaiedge.net;184.51.9.204
10.0.2.3;10.0.2.15;1;api.accuweather.com;3;0;0;5,5,1;api.accuweather.com,api.accuweather.com.edgekey.net,e10414.g.akamaiedge.net;184.51.9.204
10.0.2.3;10.0.2.15;1;api.accuweather.com;3;0;0;5,5,1;api.accuweather.com,api.accuweather.com.edgekey.net,e10414.g.akamaiedge.net;184.51.9.204
10.0.2.3;10.0.2.15;1;api.accuweather.com;3;0;0;5,5,1;api.accuweather.com,api.accuweather.com.edgekey.net,e10414.g.akamaiedge.net;184.51.9.204
10.0.2.3;10.0.2.15;1;api.mapbox.com;1;0;0;1;api.mapbox.com;13.32.113.223
10.0.2.3;10.0.2.15;1;api.mapbox.com;1;0;0;1;api.mapbox.com;13.32.113.223
10.0.2.3;10.0.2.15;1;app.adjust.com;4;0;0;1,1,1,1;app.adjust.com,app.adjust.com,app.adjust.com,app.adjust.com;185.151.204.8,185.151.204.13,185.151.204.11,185.151.204.7
10.0.2.3;10.0.2.15;1;cm.g.doubleclick.net;2;0;0;5,1;cm.g.doubleclick.net,pagead.l.doubleclick.net;216.58.201.66
10.0.2.3;10.0.2.15;1;cms.accuweather.com;3;0;0;5,1,1;cms.accuweather.com,cms.accuweather.psdops.com,cms.accuweather.psdops.com;34.194.108.44,52.3.95.246
10.0.2.3;10.0.2.15;1;combine.urbanairship.com;1;0;0;1;combine.urbanairship.com;35.190.53.75
10.0.2.3;10.0.2.15;1;config2.mparticle.com;4;0;0;1,1,1,1;config2.mparticle.com,config2.mparticle.com,config2.mparticle.com,config2.mparticle.com;151.101.194.133,151.101.2.133,151.101.66.133,151.101.130.133
10.0.2.3;10.0.2.15;1;content.cdn.viber.com;5;0;0;5,1,1,1,1;content.cdn.viber.com,d2jlvwphuziop7.cloudfront.net,d2jlvwphuziop7.cloudfront.net,d2jlvwphuziop7.cloudfront.net,d2jlvwphuziop7.cloudfront.net;13.32.99.117,13.32.99.174,13.32.99.104,13.32.99.165
10.0.2.3;10.0.2.15;1;device-api.urbanairship.com;1;0;0;1;device-api.urbanairship.com;35.244.184.98
10.0.2.3;10.0.2.15;1;events.appsflyer.com;9;0;0;5,1,1,1,1,1,1,1,1;events.appsflyer.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com;52.213.60.70,52.212.57.110,52.31.168.118,54.171.20.35,54.154.229.245,52.30.49.50,54.72.177.155,52.51.135.116
10.0.2.3;10.0.2.15;1;events.appsflyer.com;9;0;0;5,1,1,1,1,1,1,1,1;events.appsflyer.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com;54.171.20.35,52.30.49.50,54.72.177.155,52.213.60.70,52.51.135.116,52.212.57.110,54.154.229.245,52.31.168.118
10.0.2.3;10.0.2.15;1;events.appsflyer.com;9;0;0;5,1,1,1,1,1,1,1,1;events.appsflyer.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com;54.72.177.155,52.51.135.116,52.30.49.50,52.31.168.118,52.212.57.110,54.171.20.35,54.154.229.245,52.213.60.70
10.0.2.3;10.0.2.15;1;fonts.googleapis.com;1;0;0;1;fonts.googleapis.com;172.217.23.202
10.0.2.3;10.0.2.15;1;geomobileservices-pa.googleapis.com;1;0;0;1;geomobileservices-pa.googleapis.com;172.217.23.234
10.0.2.3;10.0.2.15;1;googleads.g.doubleclick.net;2;0;0;5,1;googleads.g.doubleclick.net,pagead46.l.doubleclick.net;216.58.201.98
10.0.2.3;10.0.2.15;1;googleads.g.doubleclick.net;2;0;0;5,1;googleads.g.doubleclick.net,pagead46.l.doubleclick.net;216.58.201.98
10.0.2.3;10.0.2.15;1;googleads4.g.doubleclick.net;2;0;0;5,1;googleads4.g.doubleclick.net,pagead.l.doubleclick.net;216.58.201.66
10.0.2.3;10.0.2.15;1;ib.adnxs.com;8;0;0;5,5,1,1,1,1,1,1;ib.adnxs.com,g.geogslb.com,ib.anycast.adnxs.com,ib.anycast.adnxs.com,ib.anycast.adnxs.com,ib.anycast.adnxs.com,ib.anycast.adnxs.com,ib.anycast.adnxs.com;37.252.173.22,37.252.173.38,37.252.173.27,37.252.172.249,37.252.173.62,37.252.172.250
10.0.2.3;10.0.2.15;1;mads.amazon-adsystem.com;2;0;0;5,1;mads.amazon-adsystem.com,mads.amazon.com;52.94.232.0
10.0.2.3;10.0.2.15;1;mobile-collector.newrelic.com;4;0;0;1,1,1,1;mobile-collector.newrelic.com,mobile-collector.newrelic.com,mobile-collector.newrelic.com,mobile-collector.newrelic.com;151.101.2.110,151.101.66.110,151.101.194.110,151.101.130.110
10.0.2.3;10.0.2.15;1;nativesdks.mparticle.com;8;0;0;1,1,1,1,1,1,1,1;nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com;34.192.74.189,34.225.140.34,35.172.76.154,35.172.148.46,3.221.148.167,34.234.80.244,3.209.150.155,34.200.8.183
10.0.2.3;10.0.2.15;1;nativesdks.mparticle.com;8;0;0;1,1,1,1,1,1,1,1;nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com;34.192.74.189,35.172.148.46,3.209.150.155,34.225.140.34,35.172.76.154,34.200.8.183,3.221.148.167,34.234.80.244
10.0.2.3;10.0.2.15;1;pagead2.googlesyndication.com;2;0;0;5,1;pagead2.googlesyndication.com,pagead46.l.doubleclick.net;216.58.201.98
10.0.2.3;10.0.2.15;1;pubads.g.doubleclick.net;2;0;0;5,1;pubads.g.doubleclick.net,partnerad.l.doubleclick.net;172.217.23.194
10.0.2.3;10.0.2.15;1;pubads.g.doubleclick.net;2;0;0;5,1;pubads.g.doubleclick.net,partnerad.l.doubleclick.net;172.217.23.194
10.0.2.3;10.0.2.15;1;pubads.g.doubleclick.net;2;0;0;5,1;pubads.g.doubleclick.net,partnerad.l.doubleclick.net;172.217.23.194
10.0.2.3;10.0.2.15;1;s0.2mdn.net;2;0;0;5,1;s0.2mdn.net,s0-2mdn-net.l.google.com;216.58.201.70
10.0.2.3;10.0.2.15;1;safebrowsing.googleapis.com;1;0;0;1;safebrowsing.googleapis.com;172.217.23.202
10.0.2.3;10.0.2.15;1;sb-ssl.google.com;2;0;0;5,1;sb-ssl.google.com,sb-ssl.l.google.com;216.58.201.78
10.0.2.3;10.0.2.15;1;sb-ssl.google.com;2;0;0;5,1;sb-ssl.google.com,sb-ssl.l.google.com;216.58.201.78
10.0.2.3;10.0.2.15;1;sb.scorecardresearch.com;3;0;0;5,5,1;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net,e1879.e7.akamaiedge.net;104.127.61.74
10.0.2.3;10.0.2.15;1;sb.scorecardresearch.com;3;0;0;5,5,1;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net,e1879.e7.akamaiedge.net;104.127.61.74
10.0.2.3;10.0.2.15;1;sb.scorecardresearch.com;3;0;0;5,5,1;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net,e1879.e7.akamaiedge.net;104.127.61.74
10.0.2.3;10.0.2.15;1;sb.scorecardresearch.com;3;0;0;5,5,1;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net,e1879.e7.akamaiedge.net;104.127.61.74
10.0.2.3;10.0.2.15;1;sb.voicefive.com;3;0;0;5,5,1;sb.voicefive.com,sb.voicefive.com.edgekey.net,e1880.e7.akamaiedge.net;104.127.61.90
10.0.2.3;10.0.2.15;1;sdk.foursquare.com;4;0;0;1,1,1,1;sdk.foursquare.com,sdk.foursquare.com,sdk.foursquare.com,sdk.foursquare.com;151.101.2.202,151.101.130.202,151.101.194.202,151.101.66.202
10.0.2.3;10.0.2.15;1;securepubads.g.doubleclick.net;2;0;0;5,1;securepubads.g.doubleclick.net,partnerad.l.doubleclick.net;172.217.23.194
10.0.2.3;10.0.2.15;1;ssl.google-analytics.com;2;0;0;5,1;ssl.google-analytics.com,ssl-google-analytics.l.google.com;216.58.201.72
10.0.2.3;10.0.2.15;1;t.appsflyer.com;9;0;0;5,1,1,1,1,1,1,1,1;t.appsflyer.com,appsflyer-web-17-1930449027.eu-west-1.elb.amazonaws.com,appsflyer-web-17-1930449027.eu-west-1.elb.amazonaws.com,appsflyer-web-17-1930449027.eu-west-1.elb.amazonaws.com,appsflyer-web-17-1930449027.eu-west-1.elb.amazonaws.com,appsflyer-web-17-1930449027.eu-west-1.elb.amazonaws.com,appsflyer-web-17-1930449027.eu-west-1.elb.amazonaws.com,appsflyer-web-17-1930449027.eu-west-1.elb.amazonaws.com,appsflyer-web-17-1930449027.eu-west-1.elb.amazonaws.com;34.250.197.201,52.18.114.7,34.251.106.16,52.214.227.172,52.48.254.152,52.19.120.19,52.17.153.26,52.17.203.137
10.0.2.3;10.0.2.15;1;tpc.googlesyndication.com;2;0;0;5,1;tpc.googlesyndication.com,pagead-googlehosted.l.google.com;216.58.201.97
10.0.2.3;10.0.2.15;1;venetia.iad.appboy.com;2;0;0;5,1;venetia.iad.appboy.com,m.ssl.fastly.net;151.101.112.233
10.0.2.3;10.0.2.15;1;vortex.accuweather.com;3;0;0;5,5,1;vortex.accuweather.com,vortex-new.accuweather.com.edgekey.net,e1524.e12.akamaiedge.net;23.38.81.66
10.0.2.3;10.0.2.15;1;vortex.accuweather.com;3;0;0;5,5,1;vortex.accuweather.com,vortex-new.accuweather.com.edgekey.net,e1524.e12.akamaiedge.net;23.38.81.66
10.0.2.3;10.0.2.15;1;www.googletagservices.com;2;0;0;5,1;www.googletagservices.com,pagead46.l.doubleclick.net;216.58.201.98
10.0.2.3;10.0.2.15;1;www.gstatic.com;1;0;0;1;www.gstatic.com;216.58.201.67
10.0.2.3;10.0.2.15;28;aax-eu.amazon-adsystem.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;aax-eu.amazon-adsystem.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;aax-eu.amazon-adsystem.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;aax-eu.amazon-adsystem.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;aax-eu.amazon-adsystem.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;aax-eu.amazon-adsystem.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;accuweather.brightspotcdn.com;2;0;0;5,5;accuweather.brightspotcdn.com,cdn.accuweather.psdops.com;
10.0.2.3;10.0.2.15;28;ads.yahoo.com;3;0;0;5,28,28;ads.yahoo.com,fo-fd-world-new.yax.gysm.yahoodns.net,fo-fd-world-new.yax.gysm.yahoodns.net;2a00:1288:110:c305::9000,2a00:1288:110:c305::a000
10.0.2.3;10.0.2.15;28;android.clients.google.com;1;0;0;5;android.clients.google.com;
10.0.2.3;10.0.2.15;28;android.googleapis.com;1;0;0;28;android.googleapis.com;2a00:1450:4014:800::200a
10.0.2.3;10.0.2.15;28;android.googleapis.com;1;0;0;28;android.googleapis.com;2a00:1450:4014:80d::200a
10.0.2.3;10.0.2.15;28;api.accuweather.com;2;0;0;5,5;api.accuweather.com,api.accuweather.com.edgekey.net;
10.0.2.3;10.0.2.15;28;api.accuweather.com;2;0;0;5,5;api.accuweather.com,api.accuweather.com.edgekey.net;
10.0.2.3;10.0.2.15;28;api.accuweather.com;2;0;0;5,5;api.accuweather.com,api.accuweather.com.edgekey.net;
10.0.2.3;10.0.2.15;28;api.accuweather.com;2;0;0;5,5;api.accuweather.com,api.accuweather.com.edgekey.net;
10.0.2.3;10.0.2.15;28;api.accuweather.com;2;0;0;5,5;api.accuweather.com,api.accuweather.com.edgekey.net;
10.0.2.3;10.0.2.15;28;api.accuweather.com;2;0;0;5,5;api.accuweather.com,api.accuweather.com.edgekey.net;
10.0.2.3;10.0.2.15;28;api.mapbox.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;api.mapbox.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;api.mapbox.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;app.adjust.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;cm.g.doubleclick.net;1;0;0;5;cm.g.doubleclick.net;
10.0.2.3;10.0.2.15;28;cms.accuweather.com;1;0;0;5;cms.accuweather.com;
10.0.2.3;10.0.2.15;28;combine.urbanairship.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;config2.mparticle.com;4;0;0;28,28,28,28;config2.mparticle.com,config2.mparticle.com,config2.mparticle.com,config2.mparticle.com;2a04:4e42:400::645,2a04:4e42:200::645,2a04:4e42::645,2a04:4e42:600::645
10.0.2.3;10.0.2.15;28;content.cdn.viber.com;1;0;0;5;content.cdn.viber.com;
10.0.2.3;10.0.2.15;28;device-api.urbanairship.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;events.appsflyer.com;1;0;0;5;events.appsflyer.com;
10.0.2.3;10.0.2.15;28;events.appsflyer.com;1;0;0;5;events.appsflyer.com;
10.0.2.3;10.0.2.15;28;events.appsflyer.com;1;0;0;5;events.appsflyer.com;
10.0.2.3;10.0.2.15;28;fonts.googleapis.com;1;0;0;28;fonts.googleapis.com;2a00:1450:4014:80c::200a
10.0.2.3;10.0.2.15;28;geomobileservices-pa.googleapis.com;1;0;0;28;geomobileservices-pa.googleapis.com;2a00:1450:4014:801::200a
10.0.2.3;10.0.2.15;28;googleads.g.doubleclick.net;2;0;0;5,28;googleads.g.doubleclick.net,pagead46.l.doubleclick.net;2a00:1450:4014:801::2002
10.0.2.3;10.0.2.15;28;googleads.g.doubleclick.net;2;0;0;5,28;googleads.g.doubleclick.net,pagead46.l.doubleclick.net;2a00:1450:4014:801::2002
10.0.2.3;10.0.2.15;28;googleads4.g.doubleclick.net;1;0;0;5;googleads4.g.doubleclick.net;
10.0.2.3;10.0.2.15;28;ib.adnxs.com;2;0;0;5,5;ib.adnxs.com,g.geogslb.com;
10.0.2.3;10.0.2.15;28;mads.amazon-adsystem.com;1;0;0;5;mads.amazon-adsystem.com;
10.0.2.3;10.0.2.15;28;mobile-collector.newrelic.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;nativesdks.mparticle.com;8;0;0;28,28,28,28,28,28,28,28;nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com;2600:1f18:64e7:c304:2731:4842:e38f:6741,2600:1f18:64e7:c304:759:5f1f:b42:36d5,2600:1f18:64e7:c304:ef88:8b32:2cb0:ec8c,2600:1f18:64e7:c303:9834:f4a6:b9e6:9a2b,2600:1f18:64e7:c305:29d4:def9:5f68:8c3d,2600:1f18:64e7:c304:6792:4dad:34ad:659,2600:1f18:64e7:c303:9d97:ba03:cb57:fac1,2600:1f18:64e7:c304:415d:69df:7704:40fe
10.0.2.3;10.0.2.15;28;nativesdks.mparticle.com;8;0;0;28,28,28,28,28,28,28,28;nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com;2600:1f18:64e7:c304:6792:4dad:34ad:659,2600:1f18:64e7:c305:29d4:def9:5f68:8c3d,2600:1f18:64e7:c303:9834:f4a6:b9e6:9a2b,2600:1f18:64e7:c304:415d:69df:7704:40fe,2600:1f18:64e7:c303:9d97:ba03:cb57:fac1,2600:1f18:64e7:c304:2731:4842:e38f:6741,2600:1f18:64e7:c304:759:5f1f:b42:36d5,2600:1f18:64e7:c304:ef88:8b32:2cb0:ec8c
10.0.2.3;10.0.2.15;28;pagead2.googlesyndication.com;2;0;0;5,28;pagead2.googlesyndication.com,pagead46.l.doubleclick.net;2a00:1450:4014:801::2002
10.0.2.3;10.0.2.15;28;pubads.g.doubleclick.net;1;0;0;5;pubads.g.doubleclick.net;
10.0.2.3;10.0.2.15;28;pubads.g.doubleclick.net;1;0;0;5;pubads.g.doubleclick.net;
10.0.2.3;10.0.2.15;28;pubads.g.doubleclick.net;1;0;0;5;pubads.g.doubleclick.net;
10.0.2.3;10.0.2.15;28;s0.2mdn.net;2;0;0;5,28;s0.2mdn.net,s0-2mdn-net.l.google.com;2a00:1450:4014:800::2006
10.0.2.3;10.0.2.15;28;safebrowsing.googleapis.com;1;0;0;28;safebrowsing.googleapis.com;2a00:1450:4014:80c::200a
10.0.2.3;10.0.2.15;28;sb-ssl.google.com;2;0;0;5,28;sb-ssl.google.com,sb-ssl.l.google.com;2a00:1450:4014:800::200e
10.0.2.3;10.0.2.15;28;sb-ssl.google.com;2;0;0;5,28;sb-ssl.google.com,sb-ssl.l.google.com;2a00:1450:4014:800::200e
10.0.2.3;10.0.2.15;28;sb.scorecardresearch.com;2;0;0;5,5;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net;
10.0.2.3;10.0.2.15;28;sb.scorecardresearch.com;2;0;0;5,5;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net;
10.0.2.3;10.0.2.15;28;sb.scorecardresearch.com;2;0;0;5,5;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net;
10.0.2.3;10.0.2.15;28;sb.scorecardresearch.com;2;0;0;5,5;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net;
10.0.2.3;10.0.2.15;28;sb.voicefive.com;2;0;0;5,5;sb.voicefive.com,sb.voicefive.com.edgekey.net;
10.0.2.3;10.0.2.15;28;sdk.foursquare.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;securepubads.g.doubleclick.net;1;0;0;5;securepubads.g.doubleclick.net;
10.0.2.3;10.0.2.15;28;ssl.google-analytics.com;2;0;0;5,28;ssl.google-analytics.com,ssl-google-analytics.l.google.com;2a00:1450:4014:80c::2008
10.0.2.3;10.0.2.15;28;t.appsflyer.com;1;0;0;5;t.appsflyer.com;
10.0.2.3;10.0.2.15;28;tpc.googlesyndication.com;2;0;0;5,28;tpc.googlesyndication.com,pagead-googlehosted.l.google.com;2a00:1450:4014:801::2001
10.0.2.3;10.0.2.15;28;venetia.iad.appboy.com;1;0;0;5;venetia.iad.appboy.com;
10.0.2.3;10.0.2.15;28;vortex.accuweather.com;2;0;0;5,5;vortex.accuweather.com,vortex-new.accuweather.com.edgekey.net;
10.0.2.3;10.0.2.15;28;vortex.accuweather.com;2;0;0;5,5;vortex.accuweather.com,vortex-new.accuweather.com.edgekey.net;
10.0.2.3;10.0.2.15;28;www.googletagservices.com;2;0;0;5,28;www.googletagservices.com,pagead46.l.doubleclick.net;2a00:1450:4014:801::2002
10.0.2.3;10.0.2.15;28;www.gstatic.com;1;0;0;28;www.gstatic.com;2a00:1450:4014:800::2003
